附件13,,,,,,,,,,,,
中国电信移动网153H汇总表（截至2018年第四批.此表仅用于终端配置使用，不作为网络、IT相关配置依据）,,,,,,,,,,,,
省份,城市,城市区号,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539
广东,广州,20,220-229、235-239、245-249,,200-209、220-239、330-339,784、788、805-809,471-472、740-744,,000-009、040-069、080-089、125-129、175-179,400-409,440-449,
广东,惠州,752,752,,213-214、306-309,820-821,745-747,,010-019、090-099、345-349、385-389,,,
广东,汕头,754,754,,255-263、366-369,822-824,748-749,,230-239、255-259,,290-294,
广东,珠海,756,756,,360-364、397-399,815-819,480-489,,277-279、350-359、370-379、395-399,,432-436,
广东,肇庆,758,758,,356-359,,758-759,,170-174、330-334,,299,
广东,茂名,668,290,,,781、847-849,,,075-079、310-319、390-394,,,
广东,揭阳,663,250-259,,320-322,,750-751,,120-124,,,
广东,阳江,662,,,324-329、349,,768-769,,030-034,,430-431,
广东,汕尾,660,,,300-301、323,,762-763,,020-024,,437-439,
广东,东莞,769,769,,240-249、280-299、350-353,800-804、835-839,,,200-209、240-249、260-269、280-289,770-779,280-289、420-429,
广东,潮州,768,767-768,,270-271、354-355,,764-765,,335-339,,,
广东,云浮,766,766,,215-218,845-846,,,035-039,,,
广东,清远,763,300-303、763,,310-319,780,754-755,,275-276,,295-298,
广东,河源,762,762,,272-279,,760-761,,025-029,,,
广东,中山,760,760-761、764,,365、390-396,825-829,,,130-139、210-219、270-274、290-299,780-789,270-279,090-099、880-889
广东,江门,750,750,,210-212、264-269,810-814,,,220-229、250-254,,,
广东,湛江,759,291、759,,219、250-254,,756-757,,070-074、110-119、190-194,,260-269,
广东,佛山,757,230-234、240-244、280-289、292-299、757、765,,,830-834、840-844,,,300-309、340-344、360-369、380-384,,,890-899
广东,深圳,755,260-279、755,,340-348、370-389,870-889,,,100-109、140-169、180-189,,,
广东,梅州,753,753,,302-305,,766-767,,195-199,,,
广东,韶关,751,304-309、751,,,,752-753,,320-329,,,
上海,上海,21,040-099、160-199,600-799,,772,020-029,,,,,
江苏,淮安,517,140、523,230-234,,,517、520-521,170-179、865-869,590-594、660-664,140-141,060-067,461-462、690-697
江苏,南京,25,158-159、514-519,200-209、240-241、296-299,,514-519、754、774、776、778,518,158、810-819,500-519、600-619,100-104,040-044、075-099,
江苏,宿迁,527,524,270-275,,503-504,511,830-839,643-644、692-699,050-059、135-139,,
江苏,无锡,510,151-153、615-619,220-229、248-249,,520-524、779,510,800-809、845、893-899,520-529,020-029、040-044、085-089、105-109,,
江苏,苏州,512,154-157、613、620-626,214-219、245-246,,525-529,512、524,840-844、847-849、880-884、888-889,530-539、620-629,000-019、030-039、075-079、145-149、180-189,,
江苏,扬州,514,144-145、525、527,280-285,,,514、525-526,846、850-857、885-887、892,640-642、685-691,125-134,030-039,463、675-678
江苏,徐州,516,520-522,242-243、263-269,,510-513、764,516,160-169,540-544、580-589、675-679,160-164,010-019,460、680-684
江苏,连云港,518,512-513,210-213、244,,,,180-188,545-547、630-631、665-669,142-144、150-154、165-169,025-029、068-069,464-465、679、698-699
江苏,泰州,523,142-143、526,237-238、276-279,,,513、522-523,159、863,560-564、670-674,070-074、155-159,070-074,
江苏,常州,519,149-150、611-612、614,239、250-259,,500-502,519,190-199,680-684,,000-009、045-049,
江苏,盐城,515,141、510-511,286-289,,,515、527-529,150-157、820-829、890-891,565-579、645-659,110-124,050-059,466-469、670-674、685-689
江苏,南通,513,146-148、627-629,260-262、290-295,,505-509,,189、864、870-879,548-559、632-639,045-049、060-069、080-084、090-099、170-179、190-199,,
江苏,镇江,511,528-529、610,235-236、247,,,,858-862,595-599,,020-024,
浙江,杭州,571,571、581、650-659、671、681,460-469,571、581、588,650-659、687-689、761,571、581-582、588,500-509、540-549、571、581、610-619、663-669、671、681,,200-209、240-244、258-259,100-119、230-239、400-409,420-429、571、581-584、700-719
浙江,湖州,572,572、582、672、682,,546-549、572、582,694-699、762,572,572、582、642-643、672、682,,218、220-225、246,128-129、412,572
浙江,衢州,570,570、670,,520、540-542、570,670-673、760,570,524-525、570、670,,219、248、270-274,130-131,570
浙江,嘉兴,573,573、583、673、683,490-494,526-539、573、583,763,573、583,520-522、573、583、660-662、673、683,,230-239,120-127、410-411,433-434、573、588、726-729
浙江,绍兴,575,575、585、675、685,475-479,521-525、575、585,674-679、685-686、765,575,550-557、575、585、675、685,,250-257,160-169、413-417,575、585-587、744-746
浙江,温州,577,577、587、677、687-688,480-485,500-509、550-553、577、587,767,577、587,577、587、590-599、620-629、640-641、650-653、677、687,,280-289,140-159、250-259,577、730-743
浙江,金华,579,579、589、679、689,495-499,579、589-599,690-693、769,579、589,523、530-539、579、589、679、689-699,,290-299,170-179、245-249,435-439、579、750-759
浙江,舟山,580,580、680,,510-511、543-545、580,680-684、770,580,529、559、580、680,,217、245、275-279,134-136,580
浙江,丽水,578,578、678,486-489,512-519、578,768,578,526、558、578、638-639、678,,226-229、247,132-133,578
浙江,台州,576,576、586、588、676、686,470-474,554-569、576、586,766,576、586,527-528、560-569、576、586、630-637、654-659、676、686,,210-216、249,180-187、418-419,576、589、747-749
浙江,宁波,574,574、584、660-669、674、684,450-459,574、584,660-669、771,574、584-585,510-519、574、584、588、600-609、644-649、674、684、688,,260-269,137-139、188-199、240-244,430-432、574、720-725
福建,福州,591,501、590-591、602、607、691、697、699,,,751,500、504、597,900-901、910-919、972-976,,590-591、595、599、790-793,,200-201、205、248-249、440-441、451-455、590-591、600-612
福建,南平,599,508、599、690、694,,,759,590、596,909、995-996,,,,206、239-241、449-450、599、613
福建,三明,598,505、598、603,,,758,501、505、591,908、993-994,,,,230-232、238、245、457-459、598、617-618
福建,龙岩,597,597、601、604,,,757,508-509,907、990-992,,,,236-237、247、597
福建,漳州,596,506-507、596、693,,,756,502、506-507,906、966-969,,,,246、456、596、619、629、634-636
福建,泉州,595,500、503、509、595、608、695-696,,,755,594-595、599,905、930、936-939、941、946-965、982-985、997-999,,410-419、570-589、794-799,,207-229、244、443-444、595、630-633、637-669
福建,莆田,594,594、606,,,750,593,904、977-981,,594、597-598,,594、615-616
福建,宁德,593,593、605,,,753,503,903、970-971,,592-593、596,,233-235、243、593
福建,厦门,592,502、504、592、600、609、692、698,,,752,592、598,902、920-929、931-935、940、942-945、986-989,,,,202-204、242、442、445-448、592、614、620-628
四川,阿坝,837,904,,,,,143,,837,767-768、845,010
四川,眉山,28,903,,874-878,,,132,,833-834、845、862-864,,019、770
四川,自贡,813,900,,835-839,,811-812,,,835,827-829、848,037-038、779
四川,雅安,835,816,,816、868,,,146,,816、868-869,841,033、775
四川,乐山,833,813,,813、860-867,,813,130-131,,812-813、847,650-655,020-021、046、765-766
四川,内江,832,905,,870-873,,,137,,832、844、860-861,,030、774
四川,宜宾,831,909,,845-848、880-884,,815-816,135-136,,827,830-833、842,034-035
四川,广安,826,828,,828、854-856,,814、828,133-134,,826、843、858-859,,017、769
四川,南充,817,907,,841-844、885-889,,823,126-127、144,,838-839、848,760-764,028-029、049
四川,绵阳,816,811、830-834、901,,811、820-823,135,,123-125,,821-823、849,660-666,025-027、048、777-778
四川,遂宁,825,906,,850-853,,,147-148,,,834-837,032
四川,泸州,830,908,,830-834、840,,820-822,128-129,,830,656-659、843,022-024、767-768
四川,广元,839,812,,812、857-859,,,140,,829、841、853-855,,018、772
四川,德阳,838,810、825-827、902,,810、869,,810,,,810-811,667-669、846,013-015
四川,巴中,827,829,,825-827、829,,827、829,142,,824-825、842、856-857,,011、773
四川,攀枝花,812,814,,814、898-899,,,,,836,769、849,031
四川,成都,28,800-809、817-823,,800-809、817-819,134、138-139,817-819,120-122、138,,817-820,810-826、844,000-009、040-044、760-764
四川,资阳,28,835-839,,849,,,139,,831、846、865-867,,036、771
四川,凉山,834,815,,815,136,,,,814-815、840、850-852,,039、047、776
四川,甘孜,836,,,879,,,145、149,,,765-766、840,016
四川,达州,818,824,,824、890-897,,824-826,141,,828,838-839、847,012、045
湖北,荆州,716,721、861,,768-769、776-779,415-417、587,296、298-299、724-726,,,,,273-276
湖北,恩施,718,726,,700-705、789,400-401、580-585、730,282-288、700-704、712-715,,,721-724,727-728,
湖北,宜昌,717,720、860,,760-767,404-406、570-573、740-746,244-249、708,,,,,297-299
湖北,咸宁,715,724,,780-782,418-419、594-595、736,261-266,,,457-459、715-720,,166-167
湖北,黄石,714,723,,787-788,427-428、588、738,276、729,,,451-453,723-724,164-165
湖北,黄冈,713,725,,748、770-775,412-414、598-599、731,236-243、716-717、720-721,,,454-456、711-714,719-720,161-163、270-272
湖北,孝感,712,729,,706-709、756-757,407-409、574-576、732,250-257、709,,,710,721-722,
湖北,鄂州,711,868,,,429、739,258-259、662,,,450,,
湖北,武汉,27,710-719、862-865,,710-745,589、710-729、782,220-229、233-235、260、273-275、277-278、297、705-707、710-711、722-723,,,700-709、750-769,700-718,150-156、282-296
湖北,江汉,728,722,,746、783-786,420-421、737,289-294、664、666,,,,,280-281
湖北,荆门,724,869,,749-755,402-403、586、747-749,272,,,,,
湖北,襄阳,710,727、867,,747、790-793,422-424、591-593、734,230-232、718-719、728,,,,,157-160、277-279
湖北,十堰,719,728,,794-799,425-426、596-597、735,267-271、295、660-661、727,,,725-727,725-726,168
湖北,仙桃,728,,,,,,,,,,
湖北,随州,722,866,,758-759,410-411、577-579、590、733,279-281,,,728-729,729,169
湖南,株洲,731,733、741,,,,303、333、733、833,,420-423、715-719、733、741,733、741,620-624、733、741,
湖南,长沙,731,731、748-749、840-849,,,783,301、321、331、440-441、731、831,,400-409、731、748-749、780-799,731、748-749,640-649、731、748-759、800-809、890-899,990-994、997-999
湖南,郴州,735,735,,,,305、335、447、735、835、841-842,,427-429、723-727、735,735,635、735,
湖南,益阳,737,737,,,,307、337、737、837,,430-432、737、770-773,737,637、737,970-972
湖南,邵阳,739,739,,,,309、329、339、739、839、847,,419、439、449、729、739、763-765,739,639、739,973-976
湖南,吉首,743,743,,,,323、443、843,,440-442、720-722、743,743,633、743,
湖南,永州,746,746,,,,326、446、449、846,,446-448、746、750-754,746,629-631、638、746,984-987、996
湖南,怀化,745,745,,,787,325、327、445、845、848,,443-445、745、755-759,745,625-628、745,980-983、995
湖南,张家界,744,744,,,,324、444、844、849,,436-438、744、766-769,744,744,
湖南,岳阳,730,730、740,,,,300、320、330、730、830、840,,410-412、700-704、730、740,730、740,730、740,
湖南,娄底,738,738,,,,308、328、338、738、838,,433-435、728、738、760-762,738,634、738,988-989
湖南,常德,736,736、742,,,,306、336、448、736、836,,416-418、736、774-779,736、742,610-619、636、736、742,977-979
湖南,衡阳,734,734、747,,,,304、334、442、734、834,,424-426、705-709、734、747,734、747,600-609、734、747,
湖南,湘潭,731,732,,,,302、322、332、732、832,,413-415、710-714、732、742,732,632、732,
湖南,自治州,743,,,,,,,,,,
陕西,西安,29,920-929,940-949、970-979、990-999,,230-249、790、900-929,920-929,349-374,,,454、464、860-866、900-909、918、920-929、940-945,418、800-809、900-909、918、940-948
陕西,延安,911,911,939、950-958,,255-257,911,328-329、331、341、397-399,,,451、461、911、954-956,411、911、926-927
陕西,榆林,912,912,959-968,,258-263、622-625,912,316-320、338、348、386-389,,,452、462、912、957-959,412、912、928-930
陕西,商洛,914,914、918,,,,914,323-324、330、340、390-391,,,458、468、914、952-953,414、914、938-939
陕西,渭南,913,913,909-916,,222-225、612-615,913,306-310、339、343、394-396,,,453、463、913、937-938、948-949、960-963,413、913、931-933
陕西,安康,915,915,969、980-987,,264-269、626-629,915,325-327、335、345、392-393,,,455、465、915、950-951,415、915、936-937
陕西,汉中,916,916,929-938,,250-254、618-621,916,337、347、384-385,,,456、466、916、939,416、916、934-935
陕西,宝鸡,917,917,917-928,,226-229、616-617、795,917,300-305、333-334、344、379-381,,,457、467、917、931-933、964-966,417、917、921-922
陕西,铜川,919,919,988-989,,,919,321-322、332、342、382-383,,,459、469、919、930,419、919-920
陕西,咸阳,29,910,900-908,,220-221、610-611,910、918,311-315、336、346、375-378,,,450、460、867-869、910、934-936、946-947、967-969,410、910、923-925、949
云南,昆明,871,871、880、884-885、889,,,131、171-176、439,871,,800-826、871、880、884-887、889,,871、883-884、888-889,133-136、148、490、497、837-857、859-865、867、869、871
云南,版纳,691,881,,,177-178、430,,,861-864、881、890-893,,880-881,380-383、391、393
云南,迪庆,887,887,,,143、435,,,,,,
云南,大理,872,872,,,167-168、433,872,,829-831、872、898-899,,872、877,394-397、491、872
云南,曲靖,874,874,,,157-159、443-445,874,,838-846、874,,874-876,137、142-143、149、384、399、493、874
云南,文山,876,876,,,140-142、447,876,,850-852、876,,,140-141、498-499、830-831、876
云南,楚雄,878,878,,,148-150、432,878,,853-856、878,,,130、388-390、878
云南,丽江,888,888,,,163-164、440,,,860、888,,,858
云南,临沧,883,883,,,160-162、441,,,883,,,
云南,昭通,870,870,,,179、449,870,,827-828、870,,870、885,144-146、833-836、868、870
云南,普洱,879,879,,,165-166、446,879,,857-859、879,,878-879,138-139、494-496、866、879
云南,玉溪,877,877,,,154-156、448,877,,877,,,147、832、877
云南,保山,875,875,,,151-153、431,875,,847-849、875、894、897,,,385-387、875
