附件14,,,,,,,,,,,,
中国电信移动网170H汇总表(截至2018年第四批.此表仅用于终端配置使用，不作为网络、IT相关配置依据),,,,,,,,,,,,
省份,城市,城市区号,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709
广东,广州,20,014-017、020-022、194-198、200-209、268-269、300、402-403、486-489、496-497、692、699、880-884,723-742,000-009、740-744、761-765、810-819,,,,,,,
广东,惠州,752,307-308、369、751-753、895-897,788-793,692-699,,,,,,,
广东,汕头,754,754、780-783,794-799,780-787,,,,,,,
广东,珠海,756,756、775、784-789,710-714,755-757,,,,,,,
广东,肇庆,758,758、776-778,705-709,,,,,,,,
广东,茂名,668,765-768,719-722,280-281,,,,,,,
广东,揭阳,663,,,,,,,,,,
广东,阳江,662,,,,,,,,,,
广东,汕尾,660,,,,,,,,,,
广东,东莞,769,260、301、365-368、404-405、694-696、769、779,743-744、768-774,284-299,,,,,,,
广东,潮州,768,,,,,,,,,,
广东,云浮,766,,,,,,,,,,
广东,清远,763,,,,,,,,,,
广东,河源,762,,,,,,,,,,
广东,中山,760,309、408、698、760-764,745、775-781,758-760,,,,,,,
广东,江门,750,261-263、409、697、750,700-704,751-754,,,,,,,
广东,湛江,759,759、958,715-718,282-283,,,,,,,
广东,佛山,757,303-306、406-407、700-701、757、940-942、959,746、782-787,680-691,,,,,,,
广东,深圳,755,018-019、133、180-181、190-193、199、264-267、302、344、360-364、400-401、482-485、498-499、693、755、885-889,747-767,745-750、820-839,,,,,,,
广东,梅州,753,,,,,,,,,,
广东,韶关,751,,,,,,,,,,
上海,上海,21,005-009、160-179、182-185、210-219、461-464、490-492,170-199,100-119,,,,,,,
江苏,淮安,517,140、517,610-612、679,600-601,,,,,,,
江苏,南京,25,158、250-259、528、610-614、653-654、945,628-641,500-509、630-640,,,,,,,
江苏,宿迁,527,527,653-655,606-607,,,,,,,
江苏,无锡,510,148、151-154、510、529、620-627、651-652,620-627、642,641-642、650-659,,,,,,,
江苏,苏州,512,155-157、438-439、512、520-522、524-526、615-619、650、946,643-644、660-666,643-644、660-669,,,,,,,
江苏,扬州,514,144-145、514,676-678,617-618,,,,,,,
江苏,徐州,516,143、516、807、935-939、943-944,670-675,670-677,,,,,,,
江苏,连云港,518,518,650-652,602-603,,,,,,,
江苏,泰州,523,523,667-669,604-605,,,,,,,
江苏,常州,519,149-150、519,600-604,613-614,,,,,,,
江苏,盐城,515,141-142、515、809-812,605-609,608-609、619-620,,,,,,,
江苏,南通,513,146-147、159、513、628-629、808、813-816、830-831,613-619,621-629,,,,,,,
江苏,镇江,511,511,656-659,615-616,,,,,,,
浙江,杭州,571,568、570-571、581-582、641-642、668-669、680-689、832-833、848-849,230-240,230-241、570-579,,,,,,,
浙江,湖州,572,572、837-839,220-222,210-212、218-219,,,,,,,
浙江,衢州,570,,,,,,,,,,
浙江,嘉兴,573,573、835-836、847、972-976,223-226,260-265,,,,,,,
浙江,绍兴,575,575、585、845-846、977-979,204-207,213-217,,,,,,,
浙江,温州,577,560-564、577、587-588、670-674,212-215,220-229、242-243,,,,,,,
浙江,金华,579,565-567、579、589、992,200-203,266-269,,,,,,,
浙江,舟山,580,580,216-219,246-247,,,,,,,
浙江,丽水,578,578,227-229,244-245,,,,,,,
浙江,台州,576,576、586、817-819、834、965-968,208-211,270-275,,,,,,,
浙江,宁波,574,574、583-584、675-679、969、993-999,249-257,248-259,,,,,,,
福建,福州,591,500-505、590-591、952-957,590-599,548-549、580-599,,,,,,,
福建,南平,599,,,,,,,,,,
福建,三明,598,,,,,,,,,,
福建,龙岩,597,,090-093,,,,,,,,
福建,漳州,596,,,,,,,,,,
福建,泉州,595,480-481、595、600-609,582-589,540-547,,,,,,,
福建,莆田,594,,,,,,,,,,
福建,宁德,593,,,,,,,,,,
福建,厦门,592,506-509、592-594、596-599、690-691,570-581,080-099,,,,,,,
四川,阿坝,837,,,,,,,,,,
四川,眉山,28,,,,,,,,,,
四川,自贡,813,,,,,,,,,,
四川,雅安,835,,,,,,,,,,
四川,乐山,833,,,,,,,,,,
四川,内江,832,,,,,,,,,,
四川,宜宾,831,,,,,,,,,,
四川,广安,826,,,,,,,,,,
四川,南充,817,,,,,,,,,,
四川,绵阳,816,,084-085,808-809,,,,,,,
四川,遂宁,825,,,,,,,,,,
四川,泸州,830,,,,,,,,,,
四川,广元,839,,,,,,,,,,
四川,德阳,838,,,,,,,,,,
四川,巴中,827,,,,,,,,,,
四川,攀枝花,812,,,,,,,,,,
四川,成都,28,042、138-139、280-289、644、823-829、842-844,086-089、980-999,800-807,,,,,,,
四川,资阳,28,,,,,,,,,,
四川,凉山,834,,,,,,,,,,
四川,甘孜,836,,,,,,,,,,
四川,达州,818,,080-083,,,,,,,,
湖北,荆州,716,716-719,522-526,,,,,,,,
湖北,恩施,718,,512-513、548-549,,,,,,,,
湖北,宜昌,717,,044-045、518-519,718-719,,,,,,,
湖北,咸宁,715,,042-043、544-545,,,,,,,,
湖北,黄石,714,,040-041、542-543,,,,,,,,
湖北,黄冈,713,,516-517、546-547,,,,,,,,
湖北,孝感,712,,,,,,,,,,
湖北,鄂州,711,,,,,,,,,,
湖北,武汉,27,132、270-279、341、710-715、746-749,527-541,700-715,,,,,,,
湖北,江汉,728,,,,,,,,,,
湖北,荆门,724,,,,,,,,,,
湖北,襄阳,710,,510-511、520-521,716-717,,,,,,,
湖北,十堰,719,,,,,,,,,,
湖北,仙桃,728,,,,,,,,,,
湖北,随州,722,,,,,,,,,,
湖南,株洲,731,,280-281,,,,,,,,
湖南,长沙,731,720-723、730-732、735-745,800-814,722-739,,,,,,,
湖南,郴州,735,,,,,,,,,,
湖南,益阳,737,,,,,,,,,,
湖南,邵阳,739,,,,,,,,,,
湖南,吉首,743,,,,,,,,,,
湖南,永州,746,,,,,,,,,,
湖南,怀化,745,,282-283、286-287,,,,,,,,
湖南,张家界,744,,,,,,,,,,
湖南,岳阳,730,,,,,,,,,,
湖南,娄底,738,,,,,,,,,,
湖南,常德,736,,284-285,720-721,,,,,,,
湖南,衡阳,734,733-734,815-819,,,,,,,,
湖南,湘潭,731,,,,,,,,,,
湖南,自治州,743,,,,,,,,,,
陕西,西安,29,290-299、910-911、914-915,920-929,900-915,,,,,,,
陕西,延安,911,,,,,,,,,,
陕西,榆林,912,912-913,910-913,918-919,,,,,,,
陕西,商洛,914,,,,,,,,,,
陕西,渭南,913,,,,,,,,,,
陕西,安康,915,,,,,,,,,,
陕西,汉中,916,,,,,,,,,,
陕西,宝鸡,917,,,916-917,,,,,,,
陕西,铜川,919,,,,,,,,,,
陕西,咸阳,29,,,,,,,,,,
云南,昆明,871,870-879,900-906,840-849、860-879,,,,,,,
云南,版纳,691,,,,,,,,,,
云南,迪庆,887,,,,,,,,,,
云南,大理,872,,,,,,,,,,
云南,曲靖,874,,,,,,,,,,
云南,文山,876,,,,,,,,,,
云南,楚雄,878,,,,,,,,,,
云南,丽江,888,,,,,,,,,,
云南,临沧,883,,,,,,,,,,
云南,昭通,870,,,,,,,,,,
云南,普洱,879,,,,,,,,,,
云南,玉溪,877,,,,,,,,,,
云南,保山,875,,,,,,,,,,
云南,红河,873,,,,,,,,,,
云南,怒江,886,,,,,,,,,,
云南,德宏,692,,,,,,,,,,
安徽,合肥,551,130、340、550-552、554-559、569、960-964,550-565,550-565,,,,,,,
安徽,池州,566,,,,,,,,,,
安徽,亳州,558,,264-265,,,,,,,,
