附件5,,,,,,,,,,,,
中国电信移动网191H码汇总表(截至2018年第四批.此表仅用于终端配置使用，不作为网络、IT相关配置依据),,,,,,,,,,,,
省份,城市,城市区号,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
广东,广州,20,200-209、764,,440-449、510-519、530-534、820-829,,,740-748,,,,550-559
广东,惠州,752,752,,552-559、809,,,,,,,
广东,汕头,754,302、754,,581-582,,,,,,,
广东,珠海,756,756,,591-592,,,,885-889,,,
广东,肇庆,758,307、758,,589-590,,,,,,,
广东,茂名,668,304-306、664-668,,576-578,,,,,,,
广东,揭阳,663,309、663,,573-575,,,,,,,
广东,阳江,662,662,,800,,,,,,,
广东,汕尾,660,660-661,,,,,,,,,
广东,东莞,769,769,,540-551,,,,,,,
广东,潮州,768,767-768,,,,,,,,,
广东,云浮,766,301、765-766,,585-586,,,,,,,
广东,清远,763,308、763,,579-580,,,,,,,
广东,河源,762,300、762,,,,,,,,,
广东,中山,760,760-761,,565-569,,,,,,,
广东,江门,750,750,,570-572、841,,,,,,,
广东,湛江,759,669、759,,587-588、802-808、840,,,,,,,
广东,佛山,757,303、757,,560-564,,,,,,,
广东,深圳,755,755,,450-459、520-529、535-539、830-839,,640-649,749,,,,
广东,梅州,753,753,,810-819、842-844,,,,,,,
广东,韶关,751,751,,583-584、801,,,,,,,
上海,上海,21,160-199、210-219,630-644、700-739,100-199,,540-589,,,,,
江苏,淮安,517,517、524、528,,,,,,,,,
江苏,南京,25,250-252,,,,,,,,,
江苏,宿迁,527,259、527,,,,,,,,,
江苏,无锡,510,255、521,,,,,176-178,,,,
江苏,苏州,512,258、512,,,,,170-175,,,,
江苏,扬州,514,253、514、525,,,,,,,,,
江苏,徐州,516,257、516,,,,,179,,,,
江苏,连云港,518,518、526,,,,,,,,,
江苏,泰州,523,520、523,,,,,,,,,
江苏,常州,519,256、519,,,,,,,,,
江苏,盐城,515,254、510、515,,,,,,,,,
江苏,南通,513,513、522,,,,,,,,,
江苏,镇江,511,511、529,,,,,,,,,
浙江,杭州,571,571、581、671-679、681-685、688-689,,,,350-369、470-473,722-724,,,,
浙江,湖州,572,572、582,,,,,,,,,
浙江,衢州,570,570、670,,,,,,,,,
浙江,嘉兴,573,573、583,,,,,720,,,,
浙江,绍兴,575,575、585,,,,,,,,,
浙江,温州,577,577、587、687,,,,477,728,,,,
浙江,金华,579,579、589,,,,,721、729,,,,
浙江,舟山,580,580、680,,,,,,,,,
浙江,丽水,578,578、588,,,,,,,,,
浙江,台州,576,576、586,,,,475-476,727,,,,
浙江,宁波,574,574、584、686,,,,474,725-726,,,,
福建,福州,591,500-501、590-591,,,,,,,,,
福建,南平,599,509、599,,,,,,,,,
福建,三明,598,508、598,,,,,,,,,
福建,龙岩,597,507、597,,,,,,,,,
福建,漳州,596,506、596,,,,,,,,,
福建,泉州,595,505、595,,,,,,,,,
福建,莆田,594,504、594,,,,,,,,,
福建,宁德,593,503、593,,,,,,,,,
福建,厦门,592,502、592,,,,,,,,,
四川,阿坝,837,837,391-394,,045-047,,,,,370-372,
四川,眉山,28,,,,,049-057,050-055,070-081、274、297-299,,036-037、330-334,
四川,自贡,813,,,,010-019,062-071,075-076,093-099、145、148,,022-023、282、315-319、383,
四川,雅安,835,835,,,048-049,,,,,017、160、162-164、350-354,
四川,乐山,833,813、833,,,,010-023,056-057,010-014、040-041、250-262,,026-027、130-139、335-339,
四川,内江,832,832,,,076-078,058-061,,019、082-092、144,,020-021、140-144、325-329,
