附件7,,,,,,,,,,,,
中国电信移动网173H码汇总表（截至2018年第四批.此表仅用于终端配置使用，不作为网络、IT相关配置依据）,,,,,,,,,,,,
省份,城市,城市区号,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739
广东,广州,20,200-209、661、664-667、669,680-689,200-209、220-229、400-409、420-434、830-834、850-869、990-999,,,,,,884,
广东,惠州,752,752、828,,248、288、298、580-589、825-829、970-974、980-983,,,,675-679,,,
广东,汕头,754,754,815-819,250-258,607-609,,,,660-665,,
广东,珠海,756,756、826,,246、286、296、575-576、820-824、975、984,,284-285,,825-829,680,,
广东,肇庆,758,301-302、758,,238、294、473-475、579、955-959,,288-289,,,,,
广东,茂名,668,303、668、823,,243、283、293、477-478,,286-287,,,676、688-689,885,
广东,揭阳,663,308、663、827,,247、287、297、578、595-599,610-614,282-283,,,,882,
广东,阳江,662,309、662、764-765,809,219、299、462,,,,349,666,,
广东,汕尾,660,660、824、865-867,,239、467-469,,,306-307,,672,,
广东,东莞,769,769,810-814,210-218、840-849,600-604,,,,,880,
广东,潮州,768,304、767-768、868-869,,470-472,,,304-305,,668,,
广东,云浮,766,761、766、825、829,,289、460-461,,,,347-348,678,,
广东,清远,763,307、763、862-864,,479、976-979,,,302-303,,670,881,
广东,河源,762,300、762,,249、259、269、435、465-466,,,308-309,,669、679,,
广东,中山,760,760、822,,242、282、292、570-574、815-819、960-969,615-619,,,670-674,,883,
广东,江门,750,750、820,,240、280、290、810-814,,,,320-329、340-344,690-699,,
广东,湛江,759,759、821,,241、281、291、577、590-594,605-606,280-281,,,,,
广东,佛山,757,400-409、757,,260-268、270-279、410-419、450-459、800-809、890-899、950-954、985-989,,,,820-824,,860-869,
广东,深圳,755,190-199、260-269、440-449、755,800-808,230-237、244、437-449、835-839、870-879,,,,,673-675、681-687,870-879,
广东,梅州,753,753、860-861,,245、295、476,,,300-301,,671,,
广东,韶关,751,305-306、751,,284-285、436、463-464,,,,345-346,667、677,,
上海,上海,21,160-189、210-219,630-659、710-799,100-149,,970-979,,,,888-889,
江苏,淮安,517,050、154-157、517,253、280、415、469-471、888,176-179、614、721-723、729-733、750-752,,,188-191、496、825-826,800、811、832、853,237-239、244-248、294,806、840-843,476
江苏,南京,25,148、158-159、250-259,111、204、214、223-230、418-420、440-445、480-490、495-499、544,154、164、610-613、700、708-709、771-773、775-779、785-790、798-799,,270,100-104、175-179、240、497,180、185-191、197-199、547-549、600-603、605-610、615-623、625-633、635-639、801、812、833、845-848、854、858、868-874,220-221、223-228、275-279、295-297、470,440-449、807,477、680、795
江苏,宿迁,527,144、527,281-282、424,725-727、749、753-763,,,106-108,640-642、852、899,298、479,805、844-845,470
江苏,无锡,510,140、610-613,270-279、295、503、505-507、550-553、561-563、565、880,728、740-748,,272、820-825,148-152、167-168、242、490,170-173、175-176、530-534、803、814、835、855、857、864、877-879,284-287,886,682
江苏,苏州,512,053-054、057-063、069、614-623,110、112-119、210-213、215-219、231、243-247、254-269、405-409、421-423、425-429、446、474、491-494、504、514、521-524、526-528、534、540-543、545-549、554-560、564、574、580-597,174、615-619、704、706-707、714、724、734、770,,271,109-129、141-147、165-166、170-172、241、498、820-824,535-543、611-613、643、802、813、834、856,210-213、215-217、235-236、243、249-269、273-274、280-283、471,450-455、808、849、887,400-409、478、681、790-793、999
江苏,扬州,514,514、626-629,290-293、450-451、500-502、516-520、887、889,150-152、795-797,,275、838-839,133、135-139、245-246、248、499,174、181、184、194、806、817、838、841-842、890-892,270-272、475,809,479、689
江苏,徐州,516,146、516、520-521、524,200、220、283-288、404、416-417、463-465、570、578、883,153、170-172、705、735-739、765-769,,278-279、833-835,105、134、173-174、192-199、494-495,604、614、624、830、844、849、851、893、895-898,214、222、290-292、472、478,804,685
江苏,连云港,518,147、512-513、518,233-234、410-414、466-468、472-473,165-166、173、710-713、715-718,,,180-186、249、493、829,810、831,293,456-459、803,473
江苏,泰州,523,142、523,249-252、452-454、475-477、525、530-533、566-569、598-599、884,160、167-169、175、780-783,,276、837,160-164,545、644-646、807、818、839、860-862,476,,686、794
江苏,常州,519,066、149-153、519,221-222、289、294、400-402、478-479、508-513、515、537-539、881,719-720、764、774、784、791-794,,273、826-828,158-159、169、243、827-828,544、634、804、815、836、859、894,299、473,,683、796-797
江苏,盐城,515,051-052、056、064-065、067-068、145、510-511、515、624-625,297-299、403、455、461-462、573、579、886,155-157、162-163,,836,153-157、230-239,177、809,218-219、229-234、240-242,800-801、846-848,474-475、688、798-799
